title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
The Power of the Dog,https://www.rottentomatoes.com/m/the_power_of_the_dog,"Released Nov 17, 2021",94.0,76.0,85.0,"Nov 17, 2021",2021-11-17
King Richard,https://www.rottentomatoes.com/m/king_richard,"Released Nov 19, 2021",90.0,98.0,94.0,"Nov 19, 2021",2021-11-19
C'mon C'mon,https://www.rottentomatoes.com/m/cmon_cmon,"Released Nov 19, 2021",94.0,78.0,86.0,"Nov 19, 2021",2021-11-19
Mixtape,https://www.rottentomatoes.com/m/mixtape,2021,100.0,78.0,89.0,2021,2021-01-01
American Underdog,https://www.rottentomatoes.com/m/american_underdog,"Released Dec 25, 2021",76.0,98.0,87.0,"Dec 25, 2021",2021-12-25
Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick,"Released May 27, 2022",96.0,99.0,97.5,"May 27, 2022",2022-05-27
Black Panther: Wakanda Forever,https://www.rottentomatoes.com/m/black_panther_wakanda_forever,"Released Nov 11, 2022",84.0,94.0,89.0,"Nov 11, 2022",2022-11-11
The Batman,https://www.rottentomatoes.com/m/the_batman,"Released Mar 4, 2022",85.0,87.0,86.0,"Mar 4, 2022",2022-03-04
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,"Released Dec 21, 2022",95.0,94.0,94.5,"Dec 21, 2022",2022-12-21
Jackass Forever,https://www.rottentomatoes.com/m/jackass_forever,"Released Feb 4, 2022",85.0,91.0,88.0,"Feb 4, 2022",2022-02-04
A Fairy Tale After All,https://www.rottentomatoes.com/m/a_fairy_tale_after_all,"Released Feb 18, 2022",,92.0,92.0,"Feb 18, 2022",2022-02-18
Cyrano,https://www.rottentomatoes.com/m/cyrano,"Released Feb 25, 2022",85.0,86.0,85.5,"Feb 25, 2022",2022-02-25
The Batman,https://www.rottentomatoes.com/m/the_batman,"Released Mar 4, 2022",85.0,87.0,86.0,"Mar 4, 2022",2022-03-04
A Day to Die,https://www.rottentomatoes.com/m/a_day_to_die,"Released Mar 4, 2022",,87.0,87.0,"Mar 4, 2022",2022-03-04
Rescued by Ruby,https://www.rottentomatoes.com/m/rescued_by_ruby,2022,88.0,87.0,87.5,2022,2022-01-01
Apollo 10 1/2: A Space Age Childhood,https://www.rottentomatoes.com/m/apollo_10_12_a_space_age_childhood,2022,91.0,82.0,86.5,2022,2022-01-01
The Unbearable Weight of Massive Talent,https://www.rottentomatoes.com/m/the_unbearable_weight_of_massive_talent,"Released Apr 22, 2022",87.0,87.0,87.0,"Apr 22, 2022",2022-04-22
Downton Abbey: A New Era,https://www.rottentomatoes.com/m/downton_abbey_a_new_era,"Released May 20, 2022",87.0,97.0,92.0,"May 20, 2022",2022-05-20
Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick,"Released May 27, 2022",96.0,99.0,97.5,"May 27, 2022",2022-05-27
The Bob's Burgers Movie,https://www.rottentomatoes.com/m/the_bobs_burgers_movie,"Released May 27, 2022",87.0,89.0,88.0,"May 27, 2022",2022-05-27
Elvis,https://www.rottentomatoes.com/m/elvis,"Released Jun 24, 2022",77.0,94.0,85.5,"Jun 24, 2022",2022-06-24
The Black Phone,https://www.rottentomatoes.com/m/the_black_phone,"Released Jun 24, 2022",82.0,88.0,85.0,"Jun 24, 2022",2022-06-24
The Sea Beast,https://www.rottentomatoes.com/m/the_sea_beast,"Released Jun 24, 2022",94.0,84.0,89.0,"Jun 24, 2022",2022-06-24
Marcel the Shell with Shoes On,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,"Released Jul 22, 2022",98.0,90.0,94.0,"Jul 22, 2022",2022-07-22
Rise,https://www.rottentomatoes.com/m/rise,"Released Jun 2, 2023",100.0,87.0,93.5,"Jun 2, 2023",2023-06-02
Thirteen Lives,https://www.rottentomatoes.com/m/thirteen_lives,"Released Jul 29, 2022",85.0,94.0,89.5,"Jul 29, 2022",2022-07-29
Rise of the Teenage Mutant Ninja Turtles: The Movie,https://www.rottentomatoes.com/m/rise_of_the_teenage_mutant_ninja_turtles_the_movie,2022,79.0,94.0,86.5,2022,2022-01-01
Emily the Criminal,https://www.rottentomatoes.com/m/emily_the_criminal,"Released Aug 12, 2022",94.0,79.0,86.5,"Aug 12, 2022",2022-08-12
Wire Room,https://www.rottentomatoes.com/m/wire_room,"Released Sep 2, 2022",,91.0,91.0,"Sep 2, 2022",2022-09-02
Lifemark,https://www.rottentomatoes.com/m/lifemark,"Released Sep 9, 2022",83.0,96.0,89.5,"Sep 9, 2022",2022-09-09
The Woman King,https://www.rottentomatoes.com/m/the_woman_king,"Released Sep 16, 2022",94.0,99.0,96.5,"Sep 16, 2022",2022-09-16
Running the Bases,https://www.rottentomatoes.com/m/running_the_bases,"Released Sep 16, 2022",,97.0,97.0,"Sep 16, 2022",2022-09-16
Bros,https://www.rottentomatoes.com/m/bros,"Released Sep 30, 2022",89.0,90.0,89.5,"Sep 30, 2022",2022-09-30
Till,https://www.rottentomatoes.com/m/till,"Released Oct 28, 2022",96.0,97.0,96.5,"Oct 28, 2022",2022-10-28
The Banshees of Inisherin,https://www.rottentomatoes.com/m/the_banshees_of_inisherin,"Released Nov 4, 2022",96.0,75.0,85.5,"Nov 4, 2022",2022-11-04
Aftersun,https://www.rottentomatoes.com/m/aftersun,"Released Oct 21, 2022",96.0,81.0,88.5,"Oct 21, 2022",2022-10-21
The Return of Tanya Tucker: Featuring Brandi Carlile,https://www.rottentomatoes.com/m/the_return_of_tanya_tucker_featuring_brandi_carlile,"Released Oct 21, 2022",92.0,94.0,93.0,"Oct 21, 2022",2022-10-21
Enola Holmes 2,https://www.rottentomatoes.com/m/enola_holmes_2,"Released Oct 28, 2022",93.0,79.0,86.0,"Oct 28, 2022",2022-10-28
Aqua Teen Forever: Plantasm,https://www.rottentomatoes.com/m/aqua_teen_forever_plantasm,2022,100.0,76.0,88.0,2022,2022-01-01
Guillermo del Toro's Pinocchio,https://www.rottentomatoes.com/m/guillermo_del_toros_pinocchio,"Released Nov 9, 2022",96.0,90.0,93.0,"Nov 9, 2022",2022-11-09
Black Panther: Wakanda Forever,https://www.rottentomatoes.com/m/black_panther_wakanda_forever,"Released Nov 11, 2022",84.0,94.0,89.0,"Nov 11, 2022",2022-11-11
The Fabelmans,https://www.rottentomatoes.com/m/the_fabelmans,"Released Nov 23, 2022",92.0,83.0,87.5,"Nov 23, 2022",2022-11-23
She Said,https://www.rottentomatoes.com/m/she_said,"Released Nov 18, 2022",88.0,91.0,89.5,"Nov 18, 2022",2022-11-18
The Inspection,https://www.rottentomatoes.com/m/the_inspection,"Released Dec 2, 2022",88.0,91.0,89.5,"Dec 2, 2022",2022-12-02
Glass Onion: A Knives Out Mystery,https://www.rottentomatoes.com/m/glass_onion_a_knives_out_mystery,"Released Nov 23, 2022",91.0,92.0,91.5,"Nov 23, 2022",2022-11-23
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,"Released Dec 21, 2022",95.0,94.0,94.5,"Dec 21, 2022",2022-12-21
Women Talking,https://www.rottentomatoes.com/m/women_talking,"Released Jan 20, 2023",90.0,81.0,85.5,"Jan 20, 2023",2023-01-20
Barbie,https://www.rottentomatoes.com/m/barbie,"Released Jul 21, 2023",88.0,83.0,85.5,"Jul 21, 2023",2023-07-21
Guardians of the Galaxy Vol. 3,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,"Released May 5, 2023",82.0,94.0,88.0,"May 5, 2023",2023-05-05
Wonka,https://www.rottentomatoes.com/m/wonka,"Released Dec 15, 2023",82.0,91.0,86.5,"Dec 15, 2023",2023-12-15
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,"Released Mar 24, 2023",94.0,93.0,93.5,"Mar 24, 2023",2023-03-24
M3GAN,https://www.rottentomatoes.com/m/m3gan,"Released Jan 6, 2023",93.0,78.0,85.5,"Jan 6, 2023",2023-01-06
Plane,https://www.rottentomatoes.com/m/plane,"Released Jan 13, 2023",78.0,94.0,86.0,"Jan 13, 2023",2023-01-13
Freedom's Path,https://www.rottentomatoes.com/m/freedoms_path,"Released Sep 8, 2023",91.0,99.0,95.0,"Sep 8, 2023",2023-09-08
Creed III,https://www.rottentomatoes.com/m/creed_iii,"Released Mar 3, 2023",88.0,95.0,91.5,"Mar 3, 2023",2023-03-03
