title,url,release_date,critic_score,audience_score
Fresh,https://www.rottentomatoes.com/m/fresh,1994,88.0,91.0
Rescued by Ruby,https://www.rottentomatoes.com/m/rescued_by_ruby,2022,88.0,87.0
The Unbearable Weight of Massive Talent,https://www.rottentomatoes.com/m/the_unbearable_weight_of_massive_talent,"Released Apr 22, 2022",87.0,87.0
Downton Abbey: A New Era,https://www.rottentomatoes.com/m/downton_abbey_a_new_era,"Released May 20, 2022",87.0,97.0
Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick,"Released May 27, 2022",96.0,99.0
The Bob's Burgers Movie,https://www.rottentomatoes.com/m/the_bobs_burgers_movie,"Released May 27, 2022",87.0,89.0
Marcel the Shell with Shoes On,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,"Released Jul 22, 2022",98.0,90.0
Rise,https://www.rottentomatoes.com/m/rise,"Released Jun 2, 2023",100.0,87.0
Thirteen Lives,https://www.rottentomatoes.com/m/thirteen_lives,"Released Jul 29, 2022",85.0,94.0
The Woman King,https://www.rottentomatoes.com/m/the_woman_king,"Released Sep 16, 2022",94.0,99.0
Bros,https://www.rottentomatoes.com/m/bros,"Released Sep 30, 2022",89.0,90.0
Till,https://www.rottentomatoes.com/m/till,"Released Oct 28, 2022",96.0,97.0
The Return of Tanya Tucker: Featuring Brandi Carlile,https://www.rottentomatoes.com/m/the_return_of_tanya_tucker_featuring_brandi_carlile,"Released Oct 21, 2022",92.0,94.0
Wonder,https://www.rottentomatoes.com/m/wonder,"Released Nov 17, 2017",86.0,88.0
Guillermo del Toro's Pinocchio,https://www.rottentomatoes.com/m/guillermo_del_toros_pinocchio,"Released Nov 9, 2022",96.0,90.0
She Said,https://www.rottentomatoes.com/m/she_said,"Released Nov 18, 2022",88.0,91.0
The Inspection,https://www.rottentomatoes.com/m/the_inspection,"Released Dec 2, 2022",88.0,91.0
Glass Onion: A Knives Out Mystery,https://www.rottentomatoes.com/m/glass_onion_a_knives_out_mystery,"Released Nov 23, 2022",91.0,92.0
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,"Released Dec 21, 2022",95.0,94.0
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,"Released Mar 24, 2023",94.0,93.0
The Son,https://www.rottentomatoes.com/m/son,"Released Jan 10, 2003",88.0,86.0
Freedom's Path,https://www.rottentomatoes.com/m/freedoms_path,"Released Sep 8, 2023",91.0,99.0
Creed III,https://www.rottentomatoes.com/m/creed_iii,"Released Mar 3, 2023",88.0,95.0
Southern Gospel,https://www.rottentomatoes.com/m/southern_gospel,"Released Mar 10, 2023",100.0,98.0
Pinball: The Man Who Saved the Game,https://www.rottentomatoes.com/m/pinball_the_man_who_saved_the_game,"Released Mar 17, 2023",95.0,91.0
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,"Released Mar 24, 2023",94.0,93.0
Dungeons & Dragons: Honor Among Thieves,https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,"Released Mar 31, 2023",91.0,93.0
A Thousand and One,https://www.rottentomatoes.com/m/a_thousand_and_one,"Released Mar 31, 2023",97.0,85.0
Somewhere in Queens,https://www.rottentomatoes.com/m/somewhere_in_queens,"Released Apr 21, 2023",90.0,92.0
"Are You There God? It's Me, Margaret.",https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,"Released Apr 28, 2023",99.0,95.0
Sisu,https://www.rottentomatoes.com/m/sisu,"Released Apr 28, 2023",94.0,88.0
The Starling Girl,https://www.rottentomatoes.com/m/the_starling_girl,"Released May 12, 2023",92.0,97.0
The Blackening,https://www.rottentomatoes.com/m/the_blackening,"Released Jun 16, 2023",87.0,85.0
Nimona,https://www.rottentomatoes.com/m/nimona,Now Playing,92.0,91.0
Mission: Impossible - Dead Reckoning Part One,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,"Released Jul 12, 2023",96.0,94.0
They Cloned Tyrone,https://www.rottentomatoes.com/m/they_cloned_tyrone,"Released Jul 14, 2023",95.0,100.0
War Pony,https://www.rottentomatoes.com/m/war_pony,"Released Jul 28, 2023",93.0,87.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,"Released Aug 2, 2023",95.0,90.0
Jules,https://www.rottentomatoes.com/m/jules,"Released Aug 11, 2023",85.0,90.0
Inside Man,https://www.rottentomatoes.com/m/inside_man,"Released Mar 24, 2006",86.0,85.0
Bottoms,https://www.rottentomatoes.com/m/bottoms,"Released Sep 1, 2023",90.0,89.0
Aristotle and Dante Discover the Secrets of the Universe,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe,"Released Sep 8, 2023",88.0,95.0
TAYLOR SWIFT | THE ERAS TOUR,https://www.rottentomatoes.com/m/taylor_swift_the_eras_tour,Now Playing,99.0,98.0
Nyad,https://www.rottentomatoes.com/m/nyad,"Released Oct 20, 2023",85.0,87.0
The Holdovers,https://www.rottentomatoes.com/m/the_holdovers,"Released Nov 10, 2023",97.0,92.0
Next Goal Wins,https://www.rottentomatoes.com/m/next_goal_wins,"Released Apr 25, 2014",100.0,89.0
Waitress: The Musical,https://www.rottentomatoes.com/m/waitress_the_musical,"Released Dec 7, 2023",100.0,98.0
American Fiction,https://www.rottentomatoes.com/m/american_fiction,Released Jan 12,93.0,96.0
The Iron Claw,https://www.rottentomatoes.com/m/the_iron_claw,"Released Feb 28, 1916",100.0,100.0
