title,url,release_date,critic_score,audience_score
Divine Madness,https://www.rottentomatoes.com/m/divine_madness,1980,100.0,90.0
Kagemusha,https://www.rottentomatoes.com/m/kagemusha,"Released Oct 6, 1980",89.0,92.0
The Long Good Friday,https://www.rottentomatoes.com/m/the_long_good_friday,Now Playing,97.0,89.0
The Long Good Friday,https://www.rottentomatoes.com/m/long_good_friday,Now Playing,97.0,89.0
The Idolmaker,https://www.rottentomatoes.com/m/idolmaker,"Released Nov 14, 1980",90.0,85.0
Raging Bull,https://www.rottentomatoes.com/m/raging_bull,"Released Jan 1, 1980",92.0,93.0
Raiders of the Lost Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,"Released Jun 12, 1981",93.0,96.0
On Golden Pond,https://www.rottentomatoes.com/m/on_golden_pond,"Released Jan 22, 1982",91.0,87.0
This Is Elvis,https://www.rottentomatoes.com/m/this_is_elvis,"Released Apr 3, 1981",89.0,88.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
Raiders of the Lost Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,"Released Jun 12, 1981",93.0,96.0
An American Werewolf in London,https://www.rottentomatoes.com/m/an_american_werewolf_in_london,"Released Apr 21, 1981",89.0,85.0
Das Boot,https://www.rottentomatoes.com/m/das_boot,"Released Sep 17, 1981",98.0,96.0
My Dinner With Andre,https://www.rottentomatoes.com/m/my_dinner_with_andre,"Released Oct 11, 1981",92.0,85.0
On Golden Pond,https://www.rottentomatoes.com/m/on_golden_pond,"Released Jan 22, 1982",91.0,87.0
Star Trek II: The Wrath of Khan,https://www.rottentomatoes.com/m/star_trek_ii_the_wrath_of_khan,"Released Jun 4, 1982",87.0,90.0
Victor/Victoria,https://www.rottentomatoes.com/m/victorvictoria,"Released Mar 19, 1982",97.0,86.0
Star Trek II: The Wrath of Khan,https://www.rottentomatoes.com/m/star_trek_ii_the_wrath_of_khan,"Released Jun 4, 1982",87.0,90.0
Blade Runner,https://www.rottentomatoes.com/m/blade_runner,"Released Jun 25, 1982",89.0,91.0
The Secret of NIMH,https://www.rottentomatoes.com/m/secret_of_nimh,"Released Jul 30, 1982",93.0,85.0
